Wall time,Step,Value,Loss
1673085630,445,1.521936774,1.429583549
1673085630,446,1.620318413,0.799230695
1673085631,447,1.530157328,0.641954422
1673085632,448,1.527403474,0.700882971
1673085632,449,1.612369061,0.881762981
1673085633,450,1.60411346,0.755918682
1673085634,451,1.589077473,0.925252378
1673085634,452,1.567355633,1.00216186
1673085635,453,1.641518593,0.774049938
1673085636,454,1.617293358,1.284335494
1673085636,455,1.591870546,0.676074386
1673085637,456,1.536564708,0.897599757
1673085638,457,1.616126418,0.602127731
1673085638,458,1.550851583,0.755177379
1673085639,459,1.586466312,0.999030113
1673085640,460,1.586409569,0.697359025
1673085640,461,1.630277872,1.093087316
1673085641,462,1.643838406,0.735617578
1673085642,463,1.697315335,0.776931465
1673085642,464,1.519704342,0.739439011
1673085643,465,1.536573768,0.983353555
1673085644,466,1.532677531,0.680676758
1673085645,467,1.529530406,0.578130782
1673085645,468,1.584316373,0.646200001
1673085646,469,1.574952364,0.584683895
1673085647,470,1.66228199,0.66374594
1673085647,471,1.623747468,0.93643105
1673085648,472,1.609482169,0.518069625
1673085649,473,1.608966112,0.864425123
1673085650,474,1.644023895,0.697938025
1673085650,475,1.587247729,0.731876194
1673085651,476,1.581166744,0.605638087
1673085652,477,1.599234462,0.787054598
1673085652,478,1.587453604,0.966217041
1673085653,479,1.627030611,1.010101676
1673085654,480,1.551655293,1.419064879
1673085654,481,1.513938189,0.616636276
1673085655,482,1.527544618,1.236698747
1673085656,483,1.534741282,0.830590904
1673085656,484,1.525971413,0.894036412
1673085657,485,1.570025682,0.634445608
1673085657,486,1.573267579,0.612221062
1673085658,487,1.586768508,1.293786764
1673085659,488,1.564427972,0.690826952
1673085659,489,1.530033708,1.052551985
1673085660,490,1.536621213,0.647993445
1673085661,491,1.478815675,0.703515649
1673085661,492,1.540753841,0.992195904
1673085662,493,1.494740725,0.600840628
1673085662,494,1.480796099,0.539548993
1673085663,495,1.487485528,0.901040077
1673085664,496,1.470380306,0.733172119
1673085664,497,1.431545496,0.45281148
1673085665,498,1.519702077,0.526013434
1673085666,499,1.457263112,0.548857749
