Wall time,Step,Acc,Loss
1673262863,392,0.99902153,0.00137801
1673262874,393,0.99902153,0.001518696
1673262887,394,0.99902153,0.001874067
1673262897,395,0.99902153,0.002292229
1673262906,396,1,0.000142087
1673262915,397,1,0.00014071
1673262925,398,1,0.000179652
1673262935,399,1,0.000147696
1673262949,400,0.99902153,0.001956288
1673262959,401,0.99902153,0.002199977
1673262969,402,0.99902153,0.001563142
1673262979,403,0.99804306,0.001864143
1673262989,404,0.99804306,0.001783292
1673262999,405,1,0.000178725
1673263010,406,0.99804306,0.00308565
1673263020,407,1,0.000143669
1673263031,408,1,0.000154156
1673263041,409,1,0.000168757
1673263052,410,0.99902153,0.001208893
1673263062,411,1,0.000849707
1673263072,412,1,0.000171581
1673263083,413,0.99804306,0.003748876
1673263092,414,0.99902153,0.00184236
1673263102,415,0.99902153,0.001794125
1673263111,416,1,0.000684077
1673263120,417,1,0.00013696
1673263130,418,0.99902153,0.001213071
1673263139,419,0.99804306,0.010976658
1673263149,420,1,0.000637532
1673263158,421,1,0.000232282
1673263168,422,0.99804306,0.002934308
1673263177,423,0.99902153,0.000844112
1673263186,424,0.99902153,0.001100206
1673263195,425,0.99804306,0.001892013
1673263205,426,0.99804306,0.003843119
1673263214,427,0.99902153,0.00107374
1673263224,428,0.99902153,0.001549113
1673263234,429,0.99902153,0.00091269
1673263245,430,0.99902153,0.0008613
1673263256,431,1,0.000653872
1673263266,432,1,8.02E-05
1673263276,433,0.99902153,0.001635978
1673263286,434,0.99902153,0.001464884
1673263295,435,1,5.77E-05
1673263306,436,1,8.23E-05
1673263316,437,0.99902153,0.001818874
1673263325,438,0.99902153,0.001671361
1673263334,439,1,0.000141928
1673263343,440,1,0.00121424
1673263352,441,0.99902153,0.00079638
1673263363,442,0.99902153,0.001297524
1673263375,443,0.99902153,0.001735382
1673263387,444,1,0.000644315
1673263399,445,1,4.58E-05
1673263408,446,1,0.000885517
1673263417,447,1,7.65E-05
1673263425,448,1,9.85E-05
1673263434,449,0.99902153,0.001531617
1673263443,450,0.99804306,0.003091002
1673263451,451,1,8.78E-05
1673263460,452,1,0.000838287
1673263469,453,0.99902153,0.00094536
1673263477,454,0.99902153,0.002509494
1673263486,455,0.99902153,0.001009351
1673263495,456,1,4.91E-05
1673263504,457,0.99902153,0.002430351
1673263513,458,0.99902153,0.001044851
1673263523,459,1,0.00066934
1673263533,460,0.99804306,0.002555622
1673263547,461,0.99804306,0.001645377
1673263558,462,0.99902153,0.001912094
1673263570,463,1,0.000689909
1673263581,464,1,0.00064774
1673263590,465,1,0.000681881
1673263599,466,1,0.000104928
1673263608,467,0.99902153,0.000850865
1673263618,468,1,4.92E-05
1673263627,469,1,8.97E-05
1673263636,470,0.99804306,0.001618574
1673263646,471,0.99902153,0.000862125
1673263656,472,0.99804306,0.001698909
1673263666,473,1,5.73E-05
1673263676,474,1,0.000457872
1673263687,475,1,3.73E-05
1673263696,476,1,0.000117601
1673263706,477,0.99804306,0.002727652
1673263715,478,0.99804306,0.001831016
1673263725,479,0.99804306,0.002187957
1673263735,480,1,3.12E-05
1673263745,481,1,0.000554194
1673263756,482,0.99902153,0.001614702
1673263765,483,1,0.001240995
1673263774,484,1,5.87E-05
1673263782,485,1,0.0014227
1673263791,486,1,6.70E-05
1673263801,487,1,7.52E-05
1673263812,488,1,4.83E-05
1673263821,489,1,0.000247963
1673263830,490,1,6.07E-05
1673263839,491,1,0.001516975
1673263847,492,0.99902153,0.001088743
1673263857,493,1,5.05E-05
1673263865,494,1,7.50E-05
1673263874,495,0.99804306,0.003303115
1673263883,496,0.99902153,0.001140706
1673263891,497,1,8.03E-05
1673263900,498,1,3.52E-05
1673263909,499,0.99902153,0.00137385
